steming_data,Score,Sentiment
tulis uu ampas aset mata buram,-3,Negatif
tuntut bas uu ampas aset bahas kakak eksplor akun,-1,Negatif
maaf oot edit pakai kak,0,Netral
bijakmemilih id kak,0,Netral
kmps ptn tinggal orang kmpusnya upgrade kmps ptnbh diri cari uang ksjhtran upgrade ya anda bntuan oemerinth oemasukan,-2,Negatif
baca pas lihat uu minerba langsung angggg ang angggg,3,Positif
mengapa,0,Netral
diskusi yuk orang awam argumentasi logis mahasiswa mahasewa mahasewa,-1,Negatif
sapi gula output ya anak mudah ngantuk peak level gula turun makan gizi porsi kali porsi makan baik porsi makan dil,1,Positif
potong anggar infrastruktur pas jaman jokowi infrastruktur dek adek mahasewa,-1,Negatif
kcic ikn,0,Netral
fyp astagu saya putus politik,-2,Negatif
klik not interested kak overwhelmed biar algoritma fypnya ubah apatis ya sekitar politik ngaruh aspek hidup peduli,-1,Negatif
bayar,0,Netral
semangat ya kuliah,1,Positif
terima demo,0,Netral
kawal perjuangin kak evaluasi capai,1,Positif
sabar,1,Positif
sungguh program rugi,-1,Negatif
semangat suara adil rakyat,0,Netral
pliss nemu akun,-1,Negatif
semangat adek mahasiswa sama,1,Positif
hidup rakyat indonesia hidup mahasiswa,0,Netral
ksi banget sulit cari kerja,1,Positif
suara mahasiswa suara hati rakyat indonesia,0,Netral
demo dengar -tiba bangkrut,-1,Negatif
hukum mati koruptor,0,Netral
hidup mahasiswa,0,Netral
ternak mulyono nih,0,Netral
bu mental mental hidup ya bantu,1,Positif
wowo bilang bubar,0,Netral
orang tua bisa khayal,0,Netral
tidur buzer prabowo melekx,0,Netral
balik facebok,-1,Negatif
tolong bantu tingkat mudah kondisi ekonomi phk banding kantor dan,0,Netral
hah tidur orang urus gas lpg kg biar langka bilang tidur,-2,Negatif
rakyat senang senang kolusi atas derita,-2,Negatif
bu indonesia bubar nama prabowo,0,Netral
buk terang kali,0,Netral
utah tua buzerp,-1,Negatif
dikit teriak buzzer katai perintah bayar partai wkwkwk,-2,Negatif
tugas rakyat kritik perintah anti kritik mending bikin negara sekolah gerbang doang jilaty zeeerrrrp,-3,Negatif
kritik hina beda ya pakde coba searching cari etika kritik benarrr dikit teriak buzzer ya guna rakyat kritik sifat bangun sekolah nongkrong biar pinterrrrr,-5,Negatif
memang hina beda,-2,Negatif
gue komen katai orang buzzer katai tau makna katai bilang rakyat kritik banyak hina kritik bilang sekolah gerbang paham letak ngehinanya mana wkwkwkwkwkwk,-3,Negatif
komen orang atas tua buzzer nama hina wkwkk tuh baris sakit hati orang pro perintah diblg buzzer,-6,Negatif
laah gua bahas rakyat keritik perintah lo bilang kritik hina sih tua nyambi buzerp perintah ya wkwkwkwk ijazah palsu,-2,Negatif
hina bilang ijazah palsu kenal gue tau ijazah gue palsu nih bikin indonesia maju kasihan pikir sakit hati doanv,-3,Negatif
pilih kali milu,-1,Negatif
pilih menang tuh,-1,Negatif
ngaruh,0,Netral
anda pilih presiden,-1,Negatif
pilih ya orang,0,Netral
hidup,0,Netral
yaudah pindah negara,0,Netral
rugi pilih presiden n nikmat,0,Netral
iya raja bantu tanggal januari kodari bcr fakta bl bnrjjr wowo menang,-2,Negatif
ngaruh pilih menang,-1,Negatif
geg abang sudahin pilih entar milihny,-1,Negatif
dia anda idop,-2,Negatif
ini rugi anda,-2,Negatif
ngaruh,0,Netral
menang,0,Netral
nyuruh suara ngaruh bro,-1,Negatif
untung pilih pilih kalen kalah bpk,-3,Negatif
rodri rodri,0,Netral
jantung ciahhhh rotten,0,Netral
bagus deh pilah pilih mu kalah telak,-3,Negatif
kalah move on,-1,Negatif
tinggal tunggu renta,0,Netral
gaji guru janji naik juta,3,Positif
responnya kayak,-1,Negatif
sukasuka pilih kak,-1,Negatif
lansia bongkar koruptor rakyat muda negara bayar pajak,-3,Negatif
sakit hati piara deh,-1,Negatif
harus mah kocak,-2,Negatif
nek bela negara prabowo tni loh nek,0,Netral
top komentar,1,Positif
mbak doain ya,2,Positif
hina,-1,Negatif
sdm rendah kapai husss,-1,Negatif
orang nih,0,Netral
mbak,0,Netral
sakit hati ya asa mbak,0,Netral
pengin ya sih dp omon omon,-1,Negatif
manfaat,1,Positif
ya mudik,0,Netral
tanggap anti -kritik,0,Netral
hidup syukur,1,Positif
untuk kantor ya orang tarung,0,Netral
akun privat abang,0,Netral
pilih tiktok privat,-1,Negatif
tau akun ya vt serah,0,Netral
bilang indonesia gelap wkwkwk kekuargaku rakyat tuh tuju pandang indonesia gelap tuju program rakyat manasih,0,Netral
ati rakyat rentan tidak adil anak cucu bebas tidak adil,-6,Negatif
suara rakyat suara siswa hilang pilpres,1,Positif
orang,0,Netral
rakyat wakil kak suara mahasiswa calon kader,0,Netral
ya cela,0,Netral
buzzer postnya,-1,Negatif
anda,-1,Negatif
indonesia gelap lopor adrian kain merah suara mahasewa demo pesan tunggang sisa kelompok radikal,-7,Negatif
ya salah pilih lihat rekam jejak ya lihat bansos amplop lihat pilih mu,3,Positif
hidup jokowi ngertikan,0,Netral
orang,0,Netral
catering bagi vendor mbak mending ikut gelap,-2,Negatif
orang -orang bos,1,Positif
rakyat persen,1,Positif
bahas nanggepinnya pantesan orang sambung dikit demo,-3,Negatif
aman presiden,1,Positif
sih n t,0,Netral
gelap hh,-1,Negatif
teledur,0,Netral
tnayain langsung ya gerindra hilang line kau,2,Positif
sahkan uud ampas asett,-1,Negatif
dpr,0,Netral
uud,0,Netral
noh terima,1,Positif
tonton berita abang tiktok prabowo kayak koruptor lumayan tangkap,-4,Negatif
contoh manusia gelap,0,Netral
abang indonesia terang,0,Netral
indonesia cerah tani ceraaaaahhh,0,Netral
saudara leleh,0,Netral
komen sampah kasih argumen katai cair demo tantang efisiensi anggar prabowo presiden,-3,Negatif
megwati,0,Netral
depan,0,Netral
megwati,0,Netral
indonesia terang,0,Netral
memang saudara furnitur doa baik sesal hidup,0,Netral
demo mahasewa mahasiswa,-2,Negatif
itu beda,-2,Negatif
coba turun daerah indonesia terang pakta lapang daerah eokonomi kacou susah kerja susah cari uang,-1,Negatif
daerah anak muda cari kerja buka lapang kerja kreatif jual makan minum alhamdulillah minat,3,Positif
gelap bayar listrik wkwkw,-1,Negatif
hasil uang departemen saudara laki -laki anda,0,Netral
mahasewa pikir dangkal,-1,Negatif
bikin tagar buzer,-1,Negatif
cair saudara,-1,Negatif
komen sampah kasih argumen katai cair demo tantang efisiensi anggar prabowo presiden,-3,Negatif
nolak efisiensi masalah efisiensi efektif orang henti sekolah kuliah beasiswa potong karyawan phk,-1,Negatif
buzzer ternak wowo joko nyata derita bijak era wowo,-2,Negatif
doang wkwk,0,Netral
mahasiswa intelektual orang orang anggap cerdas terima isu pasti isu salah pasti bijak perintah dengar,2,Positif
antri gas indonesia gelap,-2,Negatif
mahasiswa demo pungsi dpr ya,0,Netral
butuh makan gratis butuh didik gratis jenjang lapang kerja,2,Positif
kocak didik gratis gratisin anjing,-1,Negatif
halaahh ternak mulyono,0,Netral
butuh sekolah gratis makan gratis,2,Positif
thr,0,Netral
tani sawit rasa dampak positif ya kerja ya,2,Positif
rakyat butuh makan gratis,0,Netral
mahasiswa,0,Netral
bisa departemen saudara,0,Netral
beras mahal minyak mahal gala mahal masyrakt pusing,2,Positif
abang coba tani rasai keluh kesah nya,2,Positif
makan gratis,1,Positif
rakyat butuh kerja makan gratis kerja makan,2,Positif
makan gratis anak sekolah abang sekolah ya butuh kerja,3,Positif
utang indonesia gelap,-2,Negatif
negara utang,-1,Negatif
indonesiaterang,0,Netral
astaga baca dikit danantara baik didik tau fungsi danantara astaga,-2,Negatif
coba guru dana bantu sekolah kmna sekolah faslitias ya bagus pada dana ya kelola,6,Positif
salah mbak biar komen fasilitas bagus apa didik ajar sdm gorila ya,-1,Negatif
tau guna danantara usaha naikin ekonomi aset hutang hutang hujat heran,-3,Negatif
hasil nikmat,2,Positif
jadi anda untung makan anda rasa anda untung,-4,Negatif
coba baca jurnal sehat stunting cegah makan gizi cegah ya sadar stunting ya didik,2,Positif
nih abang lihat postingan nasional is back biar erti indonesia dikuatin sektor ekonomi ngefek sektor,1,Positif
saya saudara perempuan sekolah anda bosan,-1,Negatif
ya orang tua sadar didik rela bangga anak cari didik bagus,-1,Negatif
katain mahasewa tuju demo uang naif demo demo doang pns ubah koruptor usaha tuntut,-5,Negatif
anak ui loh ukt mahal anjir sanggup banget bayar ribu orang komen masuk akal,1,Positif
bro hilang inti,0,Netral
ditololin orang suruh perintah mahasiswa,-1,Negatif
biar abang stres apa ikut perintah ya stressjya,-2,Negatif
hadeh buta politik banget orang,-2,Negatif
dasar ternak perintah,0,Netral
nahhhh kuliah parah sih kuliah katai orang kuliah demo kasih kuota anjir kapai demo panas ribu kena semprot air kena gas air mata bilang bayar,-11,Negatif
ribu doang mah beli sunscreen tau sunscreen maahhh,-1,Negatif
contoh orang kuliah yagesya,0,Netral
btw cair rupiah komennya belikan emak beras tuh,-2,Negatif
bukti cuk,-1,Negatif
bilang sekolah,1,Positif
uang pangkal segitu bikin karya ilmiah manfaat masyarakat cipta,1,Positif
uang pangkal gua gaakan turun panas peduli negara kuliah uang pangkal anak mandiri test gua rsa turun mandiri,-6,Negatif
sih lihat kerja orang tua departemen ambil ambil dokter kayak ya panteslah uang pangkal segitu,-2,Negatif
lo,0,Netral
mahasewa rebus bayar,-1,Negatif
arang orang,0,Netral
ya opini warga tiktok tuh,1,Positif
indonesia ya indonesia indonesia indonesia isi orang china pacu nama indonesia urut isi indonesia,1,Positif
kami milik masyarakat gelap anda bos anda mulyono,-1,Negatif
masuk kabinet bisnis mandek kridit sisi gelap masuk kabinet terang benderang bisnis lancar jaya sisi terang ya,-2,Negatif
lapor jenderal indonesia gelap partai ndas kebo jajar,-1,Negatif
wowo indonesia gelap rakyat adu wowo ngadi jokowi trang rskyat gelap budak sd,-2,Negatif
koruptor korupsi mahasiswa diam indonesia gelap koruptor tangkap mahasiswa demo indonesia terang koruptor tangkap indonesia bersih indonesia terang,-5,Negatif
indonesia gelap koruptor getar getir,-2,Negatif
indonesia gelap pra dukung anis,0,Netral
hei demo indonesia gelap pertamina nipu demo bbm demo,-4,Negatif
walah omon omon pakai,-2,Negatif
langsung hidup rakyat,1,Positif
omon omon ngandalin prediksi bukti zonk,-3,Negatif
prabowo kroni gelap rakyat gelap hitam gosong,-3,Negatif
raja tahan hidup,0,Netral
percaya ramal prabowo,0,Netral
lihat omon omon,-1,Negatif
indonesia maju gerak konglomerat orang orang pribumi suruh persis prediksi cak nun,-1,Negatif
tidak,-1,Negatif
lupa ya bilang indonesia bubar tolong pakai,1,Positif
aing woo nganggur,-1,Negatif
ingat jaga jari anda,-2,Negatif
pikir,0,Netral
bravo sukatani,0,Netral
presiden erti pka mahasiswa prabowo pidato kalang dukung,2,Positif
banyk istot,0,Netral
situ pakai kcmata gelap tau gelap n terang tau ya as gelap,-4,Negatif
umur bpak,0,Netral
hidup p jokowi hidup p prabowo,0,Netral
tidur sadar pimpin,0,Netral
nkri bubar,0,Netral
hati gelap mahasewa pakk,-2,Negatif
rakyat miskin eropa rakyat gaji perintah,-1,Negatif
rakyat pmasukan coba turun kbwah,0,Netral
wowo omong ekonomi indonesia baik no indonesia bubar,-1,Negatif
ketawa asa terang semenjak pimpin bangsa,1,Positif
orang -orang gelap orang ayah kantor ayah,-1,Negatif
ysal plih,0,Netral
jenderal pecat mimpin rumah tangga gagal mimpin negara iya,-1,Negatif
oke gas oke gas,0,Netral
seperti hal,-1,Negatif
sungai,0,Netral
biasa wkwkwk,1,Positif
wkwkwkwkw,0,Netral
akibat buzzer perintah,-1,Negatif
tiktok hibur,0,Netral
rilll,0,Netral
asli,1,Positif
asli,1,Positif
kencenggg ngelawannyaaa,0,Netral
buzzernya,0,Netral
buzzer penuh,-1,Negatif
bocah kak,0,Netral
fakta saudara laki -laki,-1,Negatif
buzzer bayar kak,-1,Negatif
jauh disamain twitter wkwk,-1,Negatif
bisa,0,Netral
yeck the newsttt ,0,Netral
ikut komen barusan pindah fb hp,-1,Negatif
iya,0,Netral
benar bikin gue kemarin pikir ya danantara rugi tanggungjawab,0,Netral
tanggung ya rakyat indonesia,0,Netral
efisiensi bagus abang hati hati perhati urgent didik kena,-1,Negatif
audit eksternal audit bpk dpr pakai dinas ngisi selangkang jabat,-1,Negatif
loh orang orang tuh erti ya mangkas anggar perjadin rapat hotel mahal tuju masalah mangkas anggar nyata urgensi efisiensi,2,Positif
efisiensi laku kalang like asn doang tunjang dpr silop langit tau kerja kena efisiensi,0,Netral
bilang efisiensi jml tri tambah banget tuh berita angkat stafsus kontribusi latar,2,Positif
tuntut demo efisiensi cabut evaluasi anggar didik potong gila negara,-3,Negatif
presiden abah gapercaya sih,2,Positif
gelap emas,-1,Negatif
gue heran bbm listrik demo,-1,Negatif
moga teman teman pergi jalan roh,2,Positif
lantas sulit jawab,0,Netral
demo demo demo tolak orang,-4,Negatif
nenek nyuruh real demo bangsa,-1,Negatif
sorry serius nih alas tuju demo ya ya,-1,Negatif
aceh demo demo bayar,-2,Negatif
siswa hormat pergi jalan demo terima kasih,1,Positif
hidup,0,Netral
pemda ting intel suara pintu jendela,0,Netral
hidup mahasiswa waspadabuzzer,0,Netral
ayo revolusi,1,Positif
paham tiktok piara indonesia otak netizen ya kelas otak perintah,0,Netral
jurus demo ya tau,-1,Negatif
indonesia bubar,0,Netral
saya bupati,-1,Negatif
indonesia gelap malam,-2,Negatif
mahasewa ya jabat,-1,Negatif
sekjen merah tangkap,-1,Negatif
ini,0,Netral
coba deh lihat story tiktoknya salsac,1,Positif
ampas aset dengar ya,1,Positif
masuk tuntuan ya perpu uu kaji ya banget,3,Positif
mahadewa wakil rakyat santai rekoso ket biyen bro,1,Positif
biar diam,0,Netral
bilang mahasewa gilir krisis benar koar koar mahasiswa mana sih,-2,Negatif
saya bangga politik kembang milik langsung pergi jalan aspirasi,2,Positif
bicara mahasewa hama,-2,Negatif
mahasawa,0,Netral
abang abng kayak beda abng omong ya wkwkwk komen wkwkkw,-1,Negatif
ya usaha mas biar kayak biar,0,Netral
lupa luhut,0,Netral
bilang sih opung ya cemana sih kau wkwkkw,1,Positif
singgung fakta,-1,Negatif
usaha mas,0,Netral
enak banget omong enak keluarga cari kerja bertahta,0,Netral
hitam,-1,Negatif
bayar pajak uang balikin pindah malaysia eropa,-1,Negatif
iya kau terang kau rasa beli beras kg minggu,-1,Negatif
ok pindah indonesia,1,Positif
ras,0,Netral
optimis banget ahli surga,1,Positif
lugas cerdas opung,1,Positif
ya,1,Positif
muak,-1,Negatif
opung mah gelap serba,-1,Negatif
usaha orang kayak usaha nol kayak,-3,Negatif
bpk produksi,0,Netral
wkwkwkw,0,Netral
singapore pegang negara nih,-1,Negatif
lusifer,0,Netral
suka suka kau omong,-1,Negatif
ya ayah lezat kumpul kumpul heje jelek,1,Positif
ya gelap skincare cuci tangan salah,0,Netral
kapanlaa ya gue syukur,2,Positif
gara gara anis,-2,Negatif
ya pakai skintifik,1,Positif
tinggal tunggu,0,Netral
kantor peduli ria orang,0,Netral
gelap makan uang rakyat,-1,Negatif
pindah kau indonesia,0,Netral
iya dah kayak hut kerja banting tulang indonesia nya,-1,Negatif
kembang apact ayah,1,Positif
kau kau,0,Netral
ayah woi,0,Netral
ingat saudara umur lansia ucap pertanggungjawaban tuhan,0,Netral
ucap doa indonesia gelap terang sih opung,-2,Negatif
indonesia terang diskon listrik,1,Positif
haaah,0,Netral
sangat sayang prabowo,0,Netral
gelap hujan,-1,Negatif
hidup suka hati kau,0,Netral
bicara ya kelas ex menko ketua den astagfirulah,-1,Negatif
baik suram laku,-1,Negatif
waris orba,0,Netral
sumber kaya luhut pensiun tni,-1,Negatif
rakyat indonesia paham diam prabowo meminimalisir anggar patut salah orang orang korupsi,-1,Negatif
jabat ya bilang kayak bau bau haus kuasa,-2,Negatif
terang perintah gelap rakyat,-1,Negatif
pajak rakyat alir luhut,-1,Negatif
good job pakai luhut,1,Positif
hati luka biru hitam gelap,-3,Negatif
cuan situ luhut dimna tikus situ adah luhut,0,Netral
tuju jenderal mantap opung,1,Positif
bagus,0,Netral
omong lu skenario,-1,Negatif
hadeh capekk lucu banget negara,0,Netral
dosa coba dicobain buru surga,-1,Negatif
rasa biru blueberry,-1,Negatif
lulus si coba,1,Positif
gue voters bingung banget wkwk sesuai ekspektasi,2,Positif
lupa artist indonesia marah,-1,Negatif
bohong lihat video ingat takut banget bjir gelisah,0,Netral
biru bluberi merah stroberi hitam,-1,Negatif
habis indonesia rgb,0,Netral
ini tahun,0,Netral
ayo cerah guna tiktok,2,Positif
coba lihat postingan ulang eqzia,1,Positif
semangat edukasi abang,0,Netral
kayak logo newjeans,-1,Negatif
moga varian ingat darurat varian ijo ungu,1,Positif
saudara sulit terima kasih teman -teman lewat capekk,1,Positif
negara chaos,0,Netral
jika merah stroberi lanjut item blackcurrant,-1,Negatif
revolusi solusi,1,Positif
beda pas jaman jajah,-2,Negatif
ayo satu lawan gelap,0,Netral
semangat bang nyebarin edukasi sini,0,Netral
kakak laki -laki,0,Netral
kayak peringkat gelap,-2,Negatif
didik gratis makan gratis,2,Positif
kayak sibuk sekolah makan ingat,0,Netral
efisien didik jelasin menkeu tanggap,2,Positif
next warna ijo follow,-1,Negatif
bicara kakak laki -laki demo berita,-2,Negatif
gelap benar bang,-1,Negatif
tinggal tunggu indonesia cemas,-1,Negatif
pas milu pikir joged,1,Positif
terima kasih kakak,1,Positif
ingat darurat kolak pisang,0,Netral
keyennnn,0,Netral
wajar abang indonesia wajar temu kkn kecuali sistem orang urus ganti,0,Netral
merah oligarki abang,0,Netral
mati,0,Netral
tebak negara,0,Netral
mengapa garuda hijau karena jika warna emas jelas keju tikus tikus makan,0,Netral
ren makan bentar oke gas oke gas gas gas,-2,Negatif
tau pusing singapura,-2,Negatif
walamak kerja negeri kayak mah,0,Netral
bahasa pagar laut and iniiiu,-1,Negatif
dalah,0,Netral
jawa hama,-1,Negatif
gas lpg kg gue harga,0,Netral
ahli biologi,0,Netral
hmm nng mrs,0,Netral
banget gas elpiji kg susah cari maryarakat keluh harga gas ecer curiga tutup,-4,Negatif
saka indonesia ku,0,Netral
lpg alam duduk anteng simak,1,Positif
nih negara depan plot twist anjir,0,Netral
gua pamulang,-1,Negatif
shell kosong,-1,Negatif
prabowo turun gibran gwa pusing,-1,Negatif
tempat gas,-2,Negatif
bentar demo,-1,Negatif
itula pilih sih sono,-1,Negatif
indonesia terang terang hti prabowo,0,Netral
indonesian merdeka,0,Netral
iyain,-1,Negatif
hm,0,Netral
gue beli gas hijo perkara mobil harga ribu,0,Netral
negara,0,Netral
kemarin cari cari gass pangkal kasih bilang kosong alas langgan beli gas inti langgan kasih nasib mahasiswa rantau beli gas cuman menang deh,-3,Negatif
bikin negara yuk bu ibuu,1,Positif
capek ya allah,2,Positif
lucu ya negara,1,Positif
negara apaansih kocak,-1,Negatif
unik tinggal konoha eventnya woilah,0,Netral
pimpin atas atas pimpin,-2,Negatif
di temoat gue organisasi,1,Positif
indonesia eventnya,0,Netral
gas semenjak langka,-2,Negatif
gas desa ribu,-1,Negatif
kabur,-1,Negatif
gue beli gas ribu,-1,Negatif
masyarakat,0,Netral
hdeh,0,Netral
ah pindah negara,0,Netral
ingat darurat alih isu,-1,Negatif
harga pangkal ribu anjir,1,Positif
ikut capek ya rasa hati,-1,Negatif
daerah ku harga lpg bejir,1,Positif
kampus ptnbh uktnya kak iya sih mandiri urus uang susah gapai rakyat btw poin bahas ptnbh,1,Positif
tuntut no timpang remun ya kmpusnya malas urus upgrade,-2,Negatif
uu permpasan aset sahkan,0,Netral
uu ampas aset mahasewa melempem kerupuk bem isi anak ternak kebo oposisi,-5,Negatif
uu ampas aset melempem presiden mayoritas isi dpr koalisi presiden presiden kerah uu bahas ya presiden,5,Positif
jadi yabg utama uu ampas aset tebang pilih ya,-1,Negatif
serba salah banget ya didemoin salah didemoin salah hasil kak utama apa tinggal awasin hasil demo,-1,Negatif
ya untungin pointbpoint cuman mahasiswa dosen institut guru nguntungin rakyat indonesia demo ampas aset,0,Netral
kakak tau negara maju tingkat kualitas didik sehat pangan bagus sejahtera,1,Positif
jurnal negara negara maju plus minus amrik dana sehat hiv maren pangkas gelandang saudi arabia didik inovativ begitu pengin tambang kah,1,Positif
ya ketimbang minus mangkanya demo tuju baik kualitas didik sehat pangan salah perjuangin,0,Netral
keburu ketangkep uu sahkan,-1,Negatif
iya cuman butuh krja nyata presiden,0,Netral
iya uu ampas aset point tuntut orasi suara mahasiswa,-2,Negatif
poin poin poin bawa demo kemarin,2,Positif
iya tau bawa suara dek,-1,Negatif
fokus kesitu jabat,-1,Negatif
ada saudara klaim,0,Netral
hak asasi noh bentar rampaszszs oke gazz,1,Positif
kalimat andal ternak mulyono,-1,Negatif
ciri dukung oke gas,1,Positif
oiya kak ah capek main politik politika mending main uno kak semangat kak,-1,Negatif
hahhahaha okayyyyy,0,Netral
bilang apatis katain buzzer anak abah ternak mulyono oke oke gass dll,1,Positif
kira anda beli beras gas politis,-2,Negatif
jijik banget baca baik bangsa kayak sekolah,0,Netral
wkwk mentingin hibur penting darurat erti sdm indonesia,0,Netral
dia malu sangking majikny buzer dengar gua,-1,Negatif
p login pubg,0,Netral
wkwk capek politik bijak publik asal proses politik,-1,Negatif
itu cocok kandang,-1,Negatif
ya betull,1,Positif
kak lupa kasih pakan,0,Netral
gapapa apatis,0,Netral
orang pikmi,0,Netral
alangkah baik melek politik hidup sengsara kemudi gara hidup diobok perintah busuk,-3,Negatif
years later kayak duh kuota wifi mahal banget sih update tiktooooooookk adik sadar apatis politik rubah hidup nyaman ekonomi kolaps akibat bijak nirempati thd rakyat,-2,Negatif
betuulll kak demo siklus,-1,Negatif
tahu adik butuh sekolah biar pintar,0,Netral
pas baca tunkin dosen langsung dosen kerja cair,2,Positif
baca berita coba kak pakai kacamata kuda biar kenyataanya,-1,Negatif
coba jelasin detail minerba,1,Positif
jelas bang tell me,0,Netral
maaf kak jelas singkat baca portal,-1,Negatif
mereka suka baca hahaha,0,Netral
dijelasin sdm nih malas baca kasih fakta,-2,Negatif
terang benerang demo ya order hasto masuk ngamuk aw aw aw,-1,Negatif
order apas kak banget point didemoin katai ordar order asumsi dasar data ya,0,Netral
semangat cari cuan buzzernya,-1,Negatif
kairar canarr,0,Netral
bingung,0,Netral
segitu paham pentol pentol doang senyam senyum sabodo teuing ah,-1,Negatif
buzar bazer buzar bazer cuan cuan cuan waduk jaya anjir,0,Netral
cair outfire lain cair hanya jadi mampu kapasitas,-3,Negatif
alat kakak oknum oknum ancam bijak bijak perintah biar paham kasih contoh dikit kakak usaha alat berat sewa alat berat kakak bayar ya kakak alat berat kakak,-1,Negatif
halo kak bantu jelasin dikit ya revisi uu minerba enable orang institusi kapasitas rendah jalan tambang mana industri riskan putar uang,1,Positif
tambang batubara mineral tahap eksplorasi drilling butuh cost proses buka lahan iup iupk hak,1,Positif
kelola smeltingnya moga kakak paham minerba industri sembarang instansi orang butuh banget hitung ahli,0,Netral
jalan bangun eh protes tuh bilang bangun infrastruktur masyarakat ya chuaaksss pas potong ribut,0,Netral
bagus ya bela jelek ya demo anggar didik sehat potong polisi tentara langsung dampak rakyat potong,-1,Negatif
ya bangun ya bangun fair manfaat dukung kelas sih kayak sih kualitas tulis,4,Positif
protes ya urgensi bangun laksana lewat bangun urgent abang logika sih,0,Netral
bandara sepi maksud,-1,Negatif
bangga bangga infrastruktur utang kotor kwkwkkw,0,Netral
turside efisiensi,0,Netral
kabupaten tangerang lihat jalan provinsi jelek tangerang jakarta jam beda bangun swasta perintah jalan bos,0,Netral
izin ya kak infrastruktur jaman presiden jokowi kecam nilai layak proyek layak,1,Positif
studi cek analisis layak proyek mostly anak sipil ajar proyek kcic ikn nilai proyek banding pasu,1,Positif
demo kali anggar baik infrastruktur baik jalan hilang kak,0,Netral
kemarin jogja berita kendara motor tinggal hindar jalan lubang loh rugi masyarakat mahasiswa demo kak,-4,Negatif
coba kasih bilang anggar baik jalan hilang presiden menteri cuman anggap,2,Positif
ikn jalan selesai cuman hasil,1,Positif
kak berita menteri dody bilang preservasi jalan jembatan anggar meter cek google kak berita,-3,Negatif
ikn dana stop total kak bangun selesai tangguh anggar taruh proyek proyek super mega,3,Positif
anggar keluar proyek hasil kak pilih proyek gagal proyek hasil sih kak,0,Netral
dana dstop aduh mbak lihat berita sumber kocak kali dengar mu kayak mbak mbak,0,Netral
proyek gagal dek infrastruktur bangun jokowi kena dampak rusak positif ya dek,-1,Negatif
sekolah anak anak jajan cik cik gula msg,-1,Negatif
tugas orang tua ngawasin anak makan cik kocak,-4,Negatif
jadi pergi sekolah jaga putra jajan sekolah negeri anak ceroboh kecuali pribadi,0,Netral
bekal didik,1,Positif
usia bahaya mama bawa bekal makan sekolah kak awas,2,Positif
wanti wanti rumah kasih edukasi gizi anak msns makan sehat sehat hsrus ngawasin sekolah nya sih,1,Positif
lihat akun tt cewek ahli gizi uji coba mbak mbak uji coba riset dlht kurang evaluasi,1,Positif
lo anak tau atur sekolah argumen lo skip ya next,-2,Negatif
wkwk gue asih jurnal verifikasi internasional muterin argumen lari argumen hasto ya ya anak sesimple,-2,Negatif
loh logika ya pikir sodara,1,Positif
deh brainstorm mbak zoom biar kutat stunting korelasi journal gizi masalah pola pikir sodara,0,Netral
senin february wib dm dua diskusi no teka latih nalar pikir saudara,0,Netral
pakai jurnal orang hodob argument pakai jurnal,0,Netral
mangga sila baca beda jiplak pikir orang,-2,Negatif
latih nalar pikir pikir tanggap buat hasto,2,Positif
mari bukti elegan bungkam,-1,Negatif
mari biar kupas tuntas sesat pikir saudara bukti intelek,-1,Negatif
buka debat dua mah pacar marah cewek,0,Netral
orang tuju gue bukti nalar pikir gue lurus dendam sih,-1,Negatif
presiden kak,1,Positif
kabinet,-1,Negatif
ya resiko pimpin pimpin negara ya orang atur wilayah,2,Positif
korsel presiden darurat militer langsung demo presiden tangkap kudeta,1,Positif
tuntut rakyat mah presiden lingkup kepala keluarga tuntut istri anak presiden,-2,Negatif
ya nama presiden kak calon bantu menteri kabinet,1,Positif
ya susah sanggup mundur muak lihat perut gembrot pidato,1,Positif
tuntut tuntut belas tuntut baca berita ya baca gosip doang,-4,Negatif
mah kak gaji eh ya,1,Positif
a guys omg salty tuh ikut trend film kakak ponakan guys btw,1,Positif
pimpin tuntut mimpin negara salah ambil langkah negara kena dampak diam ya rasai dampak orang balik istana itumah gaji,-4,Negatif
pengin tuntut kapai nyapres,-1,Negatif
jika anda maju presiden,0,Netral
guys omg salty tuh ikut trend film kakak ponakan guys btw,1,Positif
semangat kerja halal ganggu perintah,0,Netral
ngebuzzer halal ya kuliah dokter acara kuliah ob kuli halal haram buzzer tukang tuduh mahasiswa bayar,-1,Negatif
wakil perintah,0,Netral
semua hak bicara,-1,Negatif
buzzer perintah,-1,Negatif
halal,0,Netral
lo percaya,1,Positif
bilang kerja halal gue halal makan halal bikin orang pikir kayak,0,Netral
buzzer saudara ilegal,-1,Negatif
demokrasi dianggep ganggu perintah,-1,Negatif
iya perintah ganggu rakyat,-1,Negatif
kasihan percaya terin,1,Positif
percaya perintah prabowo kader partai kedok perintah,1,Positif
kader partai,0,Netral
bilang,0,Netral
privat,0,Netral
ouh makan ya halal pikir ya kayak tarwiyah,1,Positif
lo bilang,0,Netral
kemarin gaduh muluu,0,Netral
kawal lihat terima perintah,2,Positif
diskusi kak,0,Netral
kau ya,1,Positif
diskusi ketok palu kak kawal,0,Netral
terima temu ketok palu apa terima,2,Positif
loh lihat kah wkwk,1,Positif
kocak terima nama terima diskusi ketok palu bare minimum perintah datengin demo mah,0,Netral
kaget mahasiswa tau definisi terima protes rakyat cuman mana jabat negara nyamperin massa terima putus,0,Netral
